message_id,action,message_type,reason,confidence,evidence_message_ids
msg_058,mute,forward,"Muted because closely related messages were previously dismissed, muted, or reported.",0.914,message_0078
msg_026,mute,scam,Muted because the linked domain does not match the claimed business.,0.97,message_0032;message_0107
msg_047,digest,event,"The event information is useful, but no immediate schedule change requires interruption.",0.711,none
msg_046,mute,scam,Muted because it asks the recipient to disclose a sensitive code or account detail.,0.97,none
msg_042,notify,urgent,A near-term operational disruption affects access or essential service and needs attention now.,0.69,message_0140
msg_079,mute,scam,Muted because it asks the recipient to disclose a sensitive code or account detail.,0.97,none
msg_098,notify,urgent,An immediate health-related callback request warrants attention now.,0.822,none
msg_037,notify,urgent,A near-term operational disruption affects access or essential service and needs attention now.,0.795,none
msg_007,digest,event,"The sender explicitly indicates that no immediate response is needed, so this can wait.",0.679,none
msg_085,mute,scam,Muted because the account or payment claim has strong impersonation signals.,0.956,message_0221
msg_001,notify,urgent,A near-term operational disruption affects access or essential service and needs attention now.,0.73,message_0057
msg_021,notify,payment,A payment deadline from a trusted administrator or known account needs timely attention.,0.746,none
msg_028,mute,promotion,Muted because the recipient explicitly opted out of promotions from this sender.,0.94,message_0034
msg_012,mute,forward,Muted as a chain message that pressures recipients to forward it.,0.888,none
msg_064,mute,scam,Muted because the account or payment claim has strong impersonation signals.,0.899,none
msg_103,notify,personal,A relevant personal request is time-sensitive enough to notify now.,0.678,none
msg_031,notify,urgent,A direct work request has a credible near-term deadline and needs a prompt response.,0.807,none
msg_057,notify,urgent,"A direct mention carries a credible time-sensitive request, even in a muted conversation.",0.774,message_0169;message_0003
msg_087,mute,promotion,Muted because the recipient muted this conversation and no credible urgency overrides it.,0.593,none
msg_067,notify,payment,A payment deadline from a trusted administrator or known account needs timely attention.,0.661,message_0068;message_0098
msg_039,notify,payment,"A direct mention carries a credible time-sensitive request, even in a muted conversation.",0.834,none
msg_082,notify,urgent,A direct work request has a credible near-term deadline and needs a prompt response.,0.743,message_0218
msg_066,mute,promotion,Muted because the recipient explicitly opted out of promotions from this sender.,0.94,message_0402
msg_049,notify,business_update,A trusted transactional update needs timely attention.,0.719,message_0154;message_0291
msg_015,mute,scam,Muted because it asks the recipient to disclose a sensitive code or account detail.,0.95,none
msg_051,mute,promotion,Muted because the recipient explicitly opted out of promotions from this sender.,0.94,message_0402;message_0257
msg_097,digest,personal,"The sender explicitly indicates that no immediate response is needed, so this can wait.",0.659,message_0054
msg_089,notify,personal,A time-limited lost-item or identity-document update requires prompt action.,0.713,none
msg_053,digest,forward,The message is relevant and safe but has no immediate action requirement.,0.65,none
msg_059,mute,scam,Muted because it asks the recipient to disclose a sensitive code or account detail.,0.95,none
msg_024,mute,promotion,Muted because the recipient explicitly opted out of promotions from this sender.,0.94,message_0402;message_0257
msg_072,mute,scam,Muted because multiple safety signals indicate a suspicious message.,0.882,none
msg_036,mute,scam,Muted because the account or payment claim has strong impersonation signals.,0.919,message_0283;message_0127
msg_076,mute,scam,Muted because the account or payment claim has strong impersonation signals.,0.919,message_0207;message_0208
msg_055,notify,personal,A relevant personal request is time-sensitive enough to notify now.,0.66,none
msg_102,notify,urgent,A direct work request has a credible near-term deadline and needs a prompt response.,0.821,message_0371;message_0230
msg_080,notify,urgent,A near-term operational disruption affects access or essential service and needs attention now.,0.735,none
msg_093,digest,business_update,"The message is useful but non-critical during the recipient's quiet hours, so it can wait.",0.631,none
msg_034,digest,forward,"The sender explicitly indicates that no immediate response is needed, so this can wait.",0.718,message_0013;message_0167
msg_035,digest,business_update,This appears to be a legitimate informational update without an immediate service change.,0.664,message_0281;message_0125
msg_101,digest,personal,"The message is useful but non-critical during the recipient's quiet hours, so it can wait.",0.766,message_0370;message_0229
msg_041,digest,business_update,This appears to be a legitimate informational update without an immediate service change.,0.605,none
msg_011,mute,forward,"Muted because closely related messages were previously dismissed, muted, or reported.",0.917,message_0014;message_0077
msg_110,mute,scam,Muted because it manipulates routing and requests sensitive credentials.,0.97,message_0238
msg_095,mute,scam,Muted because it manipulates routing and requests sensitive credentials.,0.97,none
msg_074,mute,promotion,"Muted because closely related messages were previously dismissed, muted, or reported.",0.93,none
msg_073,mute,scam,Muted because the account or payment claim has strong impersonation signals.,0.922,none
msg_054,mute,scam,Muted because a suspicious link is paired with coercive urgency.,0.97,none
msg_068,digest,personal,The tentative personal plan has no confirmed time or immediate action requirement.,0.688,none
msg_100,notify,urgent,A direct work request has a credible near-term deadline and needs a prompt response.,0.787,message_0362;message_0228
msg_062,digest,forward,"The message is useful but non-critical during the recipient's quiet hours, so it can wait.",0.729,message_0043
msg_096,notify,personal,A time-limited lost-item or identity-document update requires prompt action.,0.712,none
msg_043,notify,urgent,A near-term operational disruption affects access or essential service and needs attention now.,0.733,none
msg_077,notify,event,A school schedule or transport change requires timely action from the recipient.,0.742,none
msg_081,notify,event,A school schedule or transport change requires timely action from the recipient.,0.804,none
msg_025,notify,business_update,A trusted transactional update needs timely attention.,0.645,message_0239;message_0004
msg_084,mute,promotion,Muted because the recipient explicitly opted out of promotions from this sender.,0.94,none
msg_022,mute,scam,Muted because multiple safety signals indicate a suspicious message.,0.882,message_0151
